code	title	ec
00270	Cysteine and methionine metabolism	CG1461  CG32068  CG32068  CG11134  CG11334  CG31115  CG4802  CG8327  CG5029  CG5345  CG1753  CG2674  CG11654  CG8956  CG9977  CG10621  CG10623  CG12173  CG4233  CG8430  CG5345  CG5493  CG4233  CG8430  CG5345  CG12279  CG4233  CG8430  CG10160  CG13334  CG4300  CG10748  CG10749  CG5362  CG7998  CG1673  CG11241  CG2259  CG4919  CG6835 
00280	Valine, leucine and isoleucine degradation	CG17691  CG8199  CG7430  CG7430  CG17691  CG8199  CG7430  CG17691  CG8199  CG10932  CG9149  CG4311  CG1140  CG10399  CG8778  CG2118  CG3267  CG4389  CG6543  CG6638  CG17691  CG8199  CG1673  CG4581  CG4600  CG4389  CG6543  CG3902  CG5599  CG17691  CG8199  CG1673  CG31075  CG3752  CG9629  CG17896  CG7433  CG7113  CG15093  CG4747  CG5044  CG7113  CG4389  CG6543  CG12262  CG3902  CG5599  CG17691  CG8199  CG5599  CG1673  CG12262  CG12262  CG4703  CG4860  CG4703  CG4860  CG18155  CG11241 
00290	Valine, leucine and isoleucine biosynthesis	CG8129  CG1673  CG1673  CG1673 
00310	Lysine degradation	CG7144  CG4389  CG6543  CG7144  CG9629  CG11661  CG33791  CG10932  CG9149  CG9547  CG5214  CG10814  CG4335  CG5321  CG10947  CG12196  CG13363  CG1716  CG2995  CG32732  CG3307  CG3848  CG40351  CG42803  CG43664  CG43665  CG4565  CG4976  CG6502  CG8651  CG8887  CG31915  CG10947  CG12196  CG13363  CG1716  CG2995  CG32732  CG3307  CG3848  CG40351  CG42803  CG43664  CG43665  CG4565  CG4976  CG6502  CG8651  CG8887  CG6199  CG10947  CG12196  CG13363  CG1716  CG2995  CG32732  CG3307  CG3848  CG40351  CG42803  CG43664  CG43665  CG4565  CG4976  CG6502  CG8651  CG8887  CG31075  CG3752  CG9629  CG31751 
00330	Arginine and proline metabolism	CG18104  CG31075  CG3752  CG9629  CG8327  CG5029  CG4300  CG13611  CG31075  CG3752  CG9629  CG17337  CG8327  CG32031  CG4546  CG5144  CG6713  CG6713  CG8782  CG5840  CG6009  CG6661  CG7145  CG7470  CG7470  CG6661  CG7145  CG1417  CG11236  CG11828  CG1546  CG15539  CG15864  CG18231  CG18749  CG31013  CG31014  CG31015  CG31016  CG31017  CG31021  CG31022  CG31524  CG32199  CG32201  CG34345  CG4174  CG9698  CG9720  CG9726  CG9728  CG5840  CG6009  CG6661  CG7145  CG6661  CG7145  CG4233  CG8430  CG11236  CG18369  CG32064  CG32351  CG4439  CG4750  CG6372  CG8719  CG8721 
00340	Histidine metabolism	CG11596  CG17337  CG10697  CG3454  CG31075  CG3752  CG9629  CG13611  CG11140 
00350	Tyrosine metabolism	CG5793  CG9362  CG9363  CG4779  CG4233  CG8430  CG11796  CG11140  CG13611  CG42639  CG42640  CG1461  CG10697  CG14993  CG13611  CG11140  CG13611  CG11140  CG3481  CG6598  CG13611  CG13611  CG1543  CG11140  CG13611  CG11140  CG13611  CG10697  CG42639  CG42640  CG10118  CG42639  CG42640  CG42639  CG42640 
00360	Phenylalanine metabolism	CG11140  CG10697  CG13611  CG11796  CG1461  CG4233  CG8430  CG7399 
00380	Tryptophan metabolism	CG6871  CG9314  CG3318  CG13611  CG10697  CG10697  CG9542  CG10932  CG9149  CG4389  CG6543  CG9547  CG11661  CG33791  CG1555  CG9542  CG2155  CG9122  CG6950  CG6950  CG13611  CG10697  CG13611  CG31075  CG3752  CG9629  CG9542  CG31075  CG3752  CG9629  CG13611 
00400	Phenylalanine, tyrosine and tryptophan biosynthesis	CG1461  CG7399  CG1461  CG4233  CG8430  CG4233  CG8430 
00410	beta-Alanine metabolism	CG12262  CG4389  CG6543  CG5044  CG17896  CG7433  CG14994  CG7811  CG4300  CG8327  CG31075  CG3752  CG9629  CG3027  CG1411  CG2194  CG11140  CG17337 
00430	Taurine and hypotaurine metabolism	CG5618  CG14994  CG7811  CG5493  CG7550  CG5618  CG14994  CG7811  CG1492  CG17636  CG4829  CG6461 
00440	Phosphonate and phosphinate metabolism	CG1049  CG18330  CG33116  CG6016  CG7149  CG5547 
